temp,oxygen,water,length
high,high,medium,10.5
high,high,medium,13.6
high,high,medium,9.4
high,high,medium,6.6
high,high,medium,10.6
high,high,medium,10
high,high,medium,8.5
high,high,medium,14.6
high,high,medium,9.7
high,high,medium,14.1
high,high,low,7
high,high,low,15
high,high,low,13.5
high,high,low,9.9
high,high,low,14.5
high,high,low,11.9
high,high,low,12.2
high,high,low,14.7
high,high,low,9.7
high,high,low,12.6
high,medium,medium,12
high,medium,medium,15.1
high,medium,medium,11.3
high,medium,medium,8.9
high,medium,medium,10.1
high,medium,medium,12.1
high,medium,medium,12.6
high,medium,medium,9.9
high,medium,medium,13.6
high,medium,medium,12.4
high,medium,low,14.9
high,medium,low,15.5
high,medium,low,12.4
high,medium,low,12.5
high,medium,low,8.4
high,medium,low,12.4
high,medium,low,6.6
high,medium,low,12
high,medium,low,14.5
high,medium,low,15.1
medium,high,medium,18
medium,high,medium,11.8
medium,high,medium,10.3
medium,high,medium,14.4
medium,high,medium,12.8
medium,high,medium,13.4
medium,high,medium,12
medium,high,medium,13
medium,high,medium,13.9
medium,high,medium,13
medium,high,low,15
medium,high,low,8
medium,high,low,14.7
medium,high,low,10.2
medium,high,low,11.1
medium,high,low,12.2
medium,high,low,9.8
medium,high,low,16
medium,high,low,12.6
medium,high,low,19
medium,medium,medium,9.4
medium,medium,medium,7.6
medium,medium,medium,8.7
medium,medium,medium,8.6
medium,medium,medium,11.5
medium,medium,medium,13.3
medium,medium,medium,11.9
medium,medium,medium,0
medium,medium,medium,0
medium,medium,medium,0
medium,medium,low,12.4
medium,medium,low,11.1
medium,medium,low,10.4
medium,medium,low,14.8
medium,medium,low,15.3
medium,medium,low,15
medium,medium,low,13.4
medium,medium,low,9.5
medium,medium,low,11.8
medium,medium,low,0